study_name,study_year,ID,study_id,set_id,q_1,q_1_meta,q_1_comments,q_1_reliability,q_2,q_3_1,q_3_2,q_3_3,q_3_4,q_3_5,q_3_6,q_3_meta,q_3_comments,q_3_reliability,q_4_1,q_4_2,q_4_3,q_4_4,q_4_5,q_4_6,q_4_meta,q_4_comments,q_4_reliability,q_5_1,q_5_2,q_5_3,q_5_4,q_5_5,q_5_6,q_5_meta,q_5_comments,q_5_reliability,q_6_1,q_6_2,q_6_3,q_6_4,q_6_5,q_6_6,q_6_meta,q_6_comments,q_6_reliability,q_7_1,q_7_2,q_7_3,q_7_4,q_7_5,q_7_6,q_7_meta,q_7_comments,q_7_reliability,q_8_1,q_8_2,q_8_meta,q_8_comments,q_8_reliability,q_9_1,q_9_meta,q_9_comments,q_9_1_reliability,q_9_2,q_9_2_reliability,q_9_3,q_9_3_reliability,q_10_1,q_10_2,q_10_3,q_10_4,q_10_meta,q_10_comments,q_10_reliability,q_11_1,q_11_2,q_11_meta,q_11_comments,q_11_reliability,q_12_1,q_12_2,q_12_meta,q_12_comments,q_12_reliability,q_13_1,q_13_2,q_13_meta,q_13_comments,q_13_reliability,q_14_1,q_14_2,q_14_3,q_14_meta,q_14_comments,q_14_reliability,q_15_1,q_15_2,q_15_3,q_15_4,q_15_5,q_15_6,q_15_meta,q_15_comments,q_15_reliability,q_16_1,q_16_2,q_16_meta,q_16_comments,q_16_reliability,q_17_1,q_17_2,q_17_3,q_17_4,q_17_meta,q_17_comments,q_17_reliability,q_18_1,q_18_2,q_18_3,q_18_meta,q_18_comments,q_18_reliability,q_19_1,q_19_2,q_19_3,q_19_4,q_19_meta,q_19_comments,q_19_reliability,q_20_1,q_20_2,q_20_3,q_20_4,q_20_meta,q_20_comments,q_20_reliability,q_21_1,q_21_2,q_21_3,q_21_meta,q_21_comments,q_21_reliability,updated_at,deleted_at
"Ulcinj, Montenegro - 2020",2020,4,47,1,26179,Total waste collected in 2019 was 14202 tones. Population with tourist overnights makes avarage of 24788. Waste collection coverage according to JKP officials is 91%.                                                                   14202*1000/91%/24788/365,,0.33,1.75,13,6,9,3,19,50,Local municipal and non-hazardous construction waste management plan for Municipality of Ulcinj 2016-2020,,0.33,5.06,2.33,3.5,1.09,7.39,19.45,There are no incinerations or advanced thermal threatments in this area,,1.00,0,0,0,0,0,0,There is no separation of waste at source or sorting of waste of any kind,,1.00,0,0,0,0,0,0,,,1.00,0,0,0,0.1,0,0,There is no informal collection service that collects waste from households,,0.33,0,0,"There is no informal collection service that collects waste from households
There is no informal collection service that collects waste from households
",,1.00,0,"There are no controlled facilities for sorting of waste
There are no controlled facilities for energy from waste
There is Regional sanitary landfil Možura for depositing all collected waste by JKP
"Tamandaré, Brazil - 2021",2021,11,57,1,57056,,,0.00,0.6,5,8,2,3,21,61,,,0.00,1.2,2.3,0.5,0.6,6.5,19.2,,,0.00,0,0,0,0,0,0,,,0.00,0,0,0,0,0,0,,,0.00,0.4,0.2,0,0.1,0,0,,,0.00,0,0,,,0.00,50,,,1.00,0,1.00,100,1.00,3.000,2.000,4.000,4,,,0.66,3.000,4.000,,,0.33,0,7.00,,,0.33,15,4.00,,,0.33,4.000,4.000,4.000,,,0.66,3.000,3.000,3.000,3.000,4.000,4.000,,,1.00,3.000,3.000,,,0.33,4.000,4.000,4.000,4.000,,,0.66,3.000,4.000,3.000,,,1.00,5.000,5.000,5.000,5.000,,,0.33,4.000,4.000,7.000,4.000,,,0.33,5.000,7.000,3.000,,,0.66,2024-09-17 10:50:46,
"Astypalea, Greece - 2021",2021,12,58,1,1334,,,1.00,2.23,13,22,8,6,12,39,,,1.00,0.4,0.6,0.2,0.2,0.3,1.2,,,1.00,0,0,0,0,0,0,,,1.00,0,0,0,0,0,0,,,1.00,0,0,0,0,0,0,,,1.00,0,0,,,1.00,100,,,1.00,0,1.00,0,1.00,4.000,4.000,3.000,4,,,1.00,4.000,4.000,,,1.00,0,7.00,,,1.00,0,7.00,,,1.00,4.000,4.000,2.000,,,1.00,7.000,2.000,2.000,2.000,4.000,3.000,,,1.00,4.000,3.000,,,1.00,7.000,1.000,7.000,7.000,,,0.66,4.000,4.000,2.000,,,1.00,7.000,5.000,7.000,7.000,,,1.00,7.000,5.000,7.000,7.000,,,1.00,2.000,2.000,1.000,,,1.00,2024-09-17 10:50:47,
"Skiathos, Greece - 2021",2021,13,59,1,6088,,,1.00,3.58,24,17,7,3,11,37,,,1.00,4.2,3,1.4,0.6,2.1,8,,,1.00,0,0,0,0,0,0,,,1.00,0,0,0,0,0,0,,,1.00,0,0,0,0,0,0,,,0.66,0,0,,,1.00,100,,,1.00,0,1.00,93,1.00,4.000,4.000,3.000,3,,,1.00,4.000,4.000,,,1.00,40,7.00,,,1.00,0,7.00,,,1.00,4.000,4.000,4.000,,,1.00,7.000,4.000,3.000,4.000,3.000,3.000,,,1.00,4.000,4.000,,,1.00,7.000,4.000,4.000,4.000,,,0.66,5.000,5.000,2.000,,,1.00,7.000,5.000,7.000,7.000,,,1.00,7.000,5.000,7.000,7.000,,,1.00,3.000,3.000,5.000,,,1.00,2024-09-17 10:50:48,
"Belgrade, Serbia - 2021",2021,15,61,1,1534349,,,1.00,1.08,14,16,10,3,6,51,,,1.00,201.8,243.2,162,51.3,87.9,806.9,,,0.66,0.6,0.6,0,0,0,0,,,0.66,2.6,2.7,0.4,0,0,0,,,0.66,8.3,5.8,0.8,1.7,0,0,,,0.66,0,0,,,0.66,34,,,0.66,100,0.66,95,0.66,4.000,3.000,4.000,4,,,0.66,4.000,3.000,,,0.66,8,4.00,,,0.66,5,2.00,,,0.66,4.000,4.000,3.000,,,0.66,7.000,4.000,4.000,4.000,1.000,4.000,,,0.66,4.000,3.000,,,0.66,5.000,2.000,7.000,3.000,,,0.66,4.000,5.000,3.000,,,0.66,7.000,5.000,7.000,7.000,,,0.66,3.000,2.000,5.000,4.000,,,0.33,5.000,7.000,7.000,,,0.66,2024-09-17 10:50:51,
"Fnideq, Morocco - 2021",2021,16,62,1,92000,,,1.00,0.84,7,19,1,1,10,61,,,1.00,5,11,1,1,7,42,,,0.66,0,0,0,0,0,0,,,1.00,0,0,0,0,0,0,,,1.00,0,3.1,0.2,0.5,0,0,,,0.66,0,0,,,0.33,0,,,1.00,0,1.00,100,1.00,3.000,4.000,4.000,4,,,0.66,3.000,3.000,,,1.00,0,7.00,,,1.00,5,3.00,,,1.00,4.000,4.000,4.000,,,1.00,7.000,2.000,4.000,4.000,4.000,2.000,,,1.00,3.000,3.000,,,0.33,4.000,2.000,2.000,4.000,,,0.66,1.000,2.000,2.000,,,1.00,4.000,4.000,4.000,4.000,,,1.00,4.000,2.000,2.000,5.000,,,1.00,1.000,2.000,5.000,,,0.33,2024-09-17 10:50:52,
"Huế, Vietnam",2021,92,195,1,488157,,,0.66,0.83,3.48,15.58,0.9,0.64,12,67.4,,,0.66,5.7,45.5,3,0.8,38.9,170.9,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,6,6.6,0,1.4,1.1,54.7,,,0.66,0,0,,,0.66,0,,,0.66,0,0.66,78,0.66,4.000,4.000,4.000,4,,,0.66,4.000,4.000,,,0.33,0,7.00,,,0.33,10,7.00,,,0.33,4.000,4.000,4.000,,,0.66,7.000,4.000,3.000,2.000,4.000,4.000,,,1.00,3.000,1.000,,,0.33,7.000,5.000,7.000,2.000,,,0.66,4.000,4.000,3.000,,,0.33,7.000,5.000,7.000,7.000,,,0.33,7.000,5.000,7.000,1.000,,,0.33,4.000,1.000,3.000,,,0.66,2024-12-20 13:51:15,
"Bahir Dar, Ethiopia 2021",2021,105,201,1,284432,"
",,0.66,0.56,4.762,12.256,1.909,1.406,29.435,50.232,,,0.66,6.6,14.52,2.56,1.32,39.6,67.33,,,0.66,0,0,0,0,0,0,,,0.66,0.06,0.2,0.03,0.3,0.9,0.89,,,0.66,0.1,0.4,0.06,0.05,0.9,1.6,,,0.66,1,30,,,0.66,33.3,,,0.66,0,0.66,0,0.66,2.000,3.000,3.000,3,,,0.66,3.000,2.000,,,0.33,10,2.00,,,0.33,3,2.00,,,0.33,2.000,2.000,2.000,,,0.66,3.000,2.000,1.000,1.000,2.000,1.000,,,1.00,3.000,2.000,,,0.33,5.000,2.000,2.000,2.000,,,0.66,2.000,2.000,2.000,,,1.00,3.000,2.000,4.000,4.000,,,0.33,3.000,3.000,2.000,4.000,,,0.33,1.000,2.000,1.000,,,0.66,2025-04-11 19:18:26,
"Mangalore, India 2021",2021,106,202,1,608871,"
",,0.66,0.67,14.41,16.7,3.64,0.75,8.86,55.64,Values entered after consolidation as per Table 5 in WFD tool,,0.66,26.37,33.51,2.56,0.46,28.57,173.53,,,0.66,0,0,0,0,0,0,,,0.66,11.74,12.26,4.57,0.9,0.64,23.94,,,0.66,17.6,18.39,6.86,1.36,0.95,0,,,0.66,0,0,,,0.66,81,,,0.66,0,0.66,100,0.66,4.000,3.000,3.000,2,,,0.66,3.000,3.000,,,0.33,10,3.00,,,0.33,10,3.00,,,0.33,3.000,2.000,1.000,,,0.66,2.000,3.000,2.000,2.000,2.000,3.000,,,1.00,2.000,2.000,,,0.33,5.000,3.000,2.000,1.000,,,0.66,4.000,3.000,3.000,,,1.00,4.000,3.000,2.000,4.000,,,0.33,3.000,3.000,3.000,3.000,,,0.33,3.000,3.000,5.000,,,0.66,2025-04-11 19:21:35,
"Thiruvananthapuram, India 2021",2021,107,203,1,969298,"
",,1.00,0.44,13.8038,18.2067,3.43158,4.51846,11.9054,48.134,,,1.00,2.6,5.9015,2.53,0.8965,14.696,28.3635,,,0.66,0,0,0,0,0,0,,,1.00,34.5,13.8,0.7,0.5,1.2,102.5,,,1.00,12.62,40.995,5.382,14.8,2.179,4.15,,,1.00,1,30,,,1.00,90,,,1.00,0,1.00,0,1.00,4.000,3.000,6.000,6,,,1.00,3.000,3.000,,,1.00,10,1.00,,,1.00,10,1.00,,,1.00,4.000,4.000,4.000,,,0.33,3.000,2.000,3.000,2.000,2.000,2.000,,,0.66,3.000,4.000,,,1.00,3.000,2.000,3.000,2.000,,,1.00,4.000,3.000,3.000,,,1.00,4.000,4.000,5.000,7.000,,,1.00,5.000,3.000,4.000,4.000,,,1.00,2.000,4.000,2.000,There are some uncontrolled Landfill/Disposal facility for TMC,,0.33,2025-04-11 19:23:23,
"Malabon, Philippines - 2022",2022,17,63,1,365385,,,0.00,0.83,11,20,2,2,21,43,,,0.00,29.6,33.3,6,5.7,26.2,80,,,0.00,0,0,0,0,0,0,,,0.00,0,17,0,0,27.1,31.6,,,0.00,0,2.2,0,0,0,0,,,0.00,1,24,,,0.00,0,,,0.66,0,0.66,100,0.66,3.000,4.000,3.000,3,,,0.66,3.000,3.000,,,0.33,5,3.00,,,0.33,10,2.00,,,0.33,4.000,3.000,4.000,,,0.66,3.000,2.000,4.000,3.000,1.000,4.000,,,1.00,2.000,3.000,,,0.33,4.000,3.000,3.000,4.000,,,0.66,3.000,4.000,2.000,,,1.00,5.000,5.000,5.000,5.000,,,0.33,4.000,5.000,5.000,5.000,,,0.33,5.000,5.000,5.000,,,0.66,2024-09-17 10:50:53,
