study_name,study_year,ID,study_id,set_id,q_1,q_1_meta,q_1_comments,q_1_reliability,q_2,q_3_1,q_3_2,q_3_3,q_3_4,q_3_5,q_3_6,q_3_meta,q_3_comments,q_3_reliability,q_4_1,q_4_2,q_4_3,q_4_4,q_4_5,q_4_6,q_4_meta,q_4_comments,q_4_reliability,q_5_1,q_5_2,q_5_3,q_5_4,q_5_5,q_5_6,q_5_meta,q_5_comments,q_5_reliability,q_6_1,q_6_2,q_6_3,q_6_4,q_6_5,q_6_6,q_6_meta,q_6_comments,q_6_reliability,q_7_1,q_7_2,q_7_3,q_7_4,q_7_5,q_7_6,q_7_meta,q_7_comments,q_7_reliability,q_8_1,q_8_2,q_8_meta,q_8_comments,q_8_reliability,q_9_1,q_9_meta,q_9_comments,q_9_1_reliability,q_9_2,q_9_2_reliability,q_9_3,q_9_3_reliability,q_10_1,q_10_2,q_10_3,q_10_4,q_10_meta,q_10_comments,q_10_reliability,q_11_1,q_11_2,q_11_meta,q_11_comments,q_11_reliability,q_12_1,q_12_2,q_12_meta,q_12_comments,q_12_reliability,q_13_1,q_13_2,q_13_meta,q_13_comments,q_13_reliability,q_14_1,q_14_2,q_14_3,q_14_meta,q_14_comments,q_14_reliability,q_15_1,q_15_2,q_15_3,q_15_4,q_15_5,q_15_6,q_15_meta,q_15_comments,q_15_reliability,q_16_1,q_16_2,q_16_meta,q_16_comments,q_16_reliability,q_17_1,q_17_2,q_17_3,q_17_4,q_17_meta,q_17_comments,q_17_reliability,q_18_1,q_18_2,q_18_3,q_18_meta,q_18_comments,q_18_reliability,q_19_1,q_19_2,q_19_3,q_19_4,q_19_meta,q_19_comments,q_19_reliability,q_20_1,q_20_2,q_20_3,q_20_4,q_20_meta,q_20_comments,q_20_reliability,q_21_1,q_21_2,q_21_3,q_21_meta,q_21_comments,q_21_reliability,updated_at,deleted_at
"Ulcinj, Montenegro - 2020",2020,4,47,1,26179,Total waste collected in 2019 was 14202 tones. Population with tourist overnights makes avarage of 24788. Waste collection coverage according to JKP officials is 91%.                                                                   14202*1000/91%/24788/365,,0.33,1.75,13,6,9,3,19,50,Local municipal and non-hazardous construction waste management plan for Municipality of Ulcinj 2016-2020,,0.33,5.06,2.33,3.5,1.09,7.39,19.45,There are no incinerations or advanced thermal threatments in this area,,1.00,0,0,0,0,0,0,There is no separation of waste at source or sorting of waste of any kind,,1.00,0,0,0,0,0,0,,,1.00,0,0,0,0.1,0,0,There is no informal collection service that collects waste from households,,0.33,0,0,"There is no informal collection service that collects waste from households
There is no informal collection service that collects waste from households
",,1.00,0,"There are no controlled facilities for sorting of waste
There are no controlled facilities for energy from waste
There is Regional sanitary landfil Možura for depositing all collected waste by JKP
"Isla de Holbox, Mexico - 2022",2022,20,109,1,2673,,,0.66,13.01,4.01,5.78,8.72,1.84,24.01,55.65,"	
	
	
	
	
",,0.66,0.4,0.6,0.8,0.2,2.3,5.3,,,0.66,0,0,0,0,0,0,,,1.00,0,0,0.1,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0,,,1.00,90,,,1.00,0,1.00,0,1.00,1.000,2.000,2.000,3,,,1.00,4.000,4.000,,,1.00,10,7.00,,,1.00,10,7.00,,,1.00,2.000,2.000,1.000,,,1.00,7.000,2.000,2.000,1.000,4.000,2.000,,,1.00,2.000,5.000,,,1.00,5.000,1.000,5.000,1.000,,,0.66,1.000,4.000,1.000,,,1.00,7.000,7.000,7.000,1.000,,,0.33,7.000,7.000,7.000,1.000,,,0.33,1.000,7.000,5.000,,,1.00,2024-09-17 10:50:57,
"Omoa, Honduras - 2022",2022,19,108,1,24770,"Fuente: INE, 2018 (https://www.ine.gob.hn/V3/imag-doc/2019/08/Omoa-Cortes.pdf)",Datos de población y vivienda proyectados para la zona urbana (2018),0.66,0.63,11,9,3,3,21,53,"A Global Snapshot of Solid Waste Management to 2050, Kaza et. Al. 2018","Documentos consultados: Estrategia Municipal de Gestión Integral de Residuos Sólidos, Omoa, 2017",0.66,1.2,0.98,0.33,0.33,2.29,5.87,,Mediciones de campo realizadas en agosto de 2022 por equipo técnico de la municipalidad de Omoa,0.66,0,0,0,0,0,0,,Mediciones de campo realizadas en agosto 2022 por equipo técnico de la municipalidad de Omoa.,1.00,0,0,0,0,0,0,,Mediciones de campo realizadas en agosto 2022 por equipo técnico de la municipalidad de Omoa.,0.33,0,0.03,0.06,0.03,0,0,,Mediciones de campo realizadas en agosto 2022 por equipo técnico de la municipalidad de Omoa.,0.66,1,1,,Mediciones de campo realizadas en agosto 2022 por equipo técnico de la municipalidad de Omoa.,0.66,0,,No existen instalaciones controladas en la ciudad.,1.00,0,1.00,0,1.00,2.000,2.000,2.000,2,,,1.00,2.000,2.000,,Observaciones de campo durante la aplicación del WFD. ,1.00,0,7.00,,Observaciones de campo durante la aplicación del WFD. ,1.00,0,7.00,,Observaciones de campo durante la aplicación del WFD. ,1.00,2.000,2.000,2.000,,Observaciones de campo llevadas a cabo en agosto de 2022.,0.66,1.000,2.000,2.000,1.000,2.000,2.000,,,0.66,2.000,2.000,http://cenaos.copeco.gob.hn/productos/pronostico_estacional/pronosticoestacional.pdf,Se registran alrededor de 7 meses de lluvia en la zona.,0.66,3.000,2.000,3.000,3.000,,,0.33,3.000,3.000,3.000,,,0.33,5.000,5.000,5.000,5.000,,No existe clasificación formal de residuos en la zona. ,0.66,3.000,2.000,3.000,3.000,,,0.66,2.000,2.000,3.000,,,0.66,2024-09-17 10:50:55,
"Izabal, Guatemala - 2022",2022,21,110,1,115000,"Population
Source: Municipality's estimate to 2021 on projection of 100,593 of the 2018 census.
Other references 
-(PMD): 33,212
(2018 National Census of the entire Municipality): 100,593 
-(Castañeda, 2019): 60,224 according to the 2002 INE census for the urban area.

Generation
Fuente: (Aguilar)

Otros referencias
-Publicación de dato a nivel nacional (1 libra y 2 onzas per cápita al día o 0.56699 kg/cápita/día) del MARN.
-(Guía para la Identificación Gráfica de los Residuos Sólidos Comunes): 0.519 kg/cápita/día.
-(URL, 2003): 0.5 kg/cápita/día según URL 2003
-(Castañeda, 2019): 0.71 kg/cápita/día, que indica 1.66 lb/cápita/día.
-(Aguilar): Santo Tomás de Castilla con 0.85 lb/hab/día, Entre Ríos 0.71 lb/hab/día. 
-(Pineda, 2019): 0.97lb/hab/día",,0.66,0.63,7,14,11,4,15,48,"Source: (Aguilar). 

Other references
-(Guide for the Graphic Identification of Common Solid Waste): 32% Others include household hazardous waste, sanitary waste. The percentage distribution in the Guide adds up to only 95 per cent, instead of 100 per cent.
-(Castañeda, 2019): organic 0.85lb (49%), recyclable 0.34lb (20%), waste 0.52lb (30%). 
-(Pineda, 2019), 50% organic", ,0.66,0.65,6,0.74,0.91,3,31.5,"Source: 
-(Pineda Lopez, 2019) 

Other references
-(Municipality): 65 m3/day (total) 
-(Aguilar): 381.2 kg, 145.5 lb/m3 density.
-(URL, 2003 for the entire Department of Izabal), 2,077.96 ton/day destined for municipal garbage dump
-(2018 Census), 64% of households have municipal + private service
Additional data
-The single facility also receives from other microregions.","Conversion of the daily average lb/month to ton/day
Plastics: includes PET, HDPE, LDPE, PP, PC
Metals: Fe, Cu and Al were considered",1.00,0,0.25,0,0,0,0,"Sources, estimation of
-(4Ocean): 1000lb/month
 El Quetzalito, 500 ton (January-Jul 2022)",,0.33,0.04,0.0756,0.01,0.3,0,0,"Paper
Sources for summation: 
-(Municipality): 2-4 lb/month (Don Maco)
-(Survey C, Jeff Taqué): 10-20 quintals/month

Plastics
Sources: 
-(4 Ocean): 1000lb/month
-(M&C): 8000 lb weekly
-(Survey C, Mario Salazar): 5000lb nylon/month

Glass 
Fountain: 
-(M&C): 400 qq fortnightly
Metals",,0.66,0.3,0.52,1,0.1,0,0,"Plastics 
Source: 
-(M&C): 8000 lb weekly
Additional data 
Direct purchase from the informal sector in Piteros

Glass
Cource: 
-(M&C): 400 qq fortnightly
Additional data 
Direct purchase from the informal sector in Piteros",,0.66,1,36.2,"Separated collection
Source: Field observation in Piteros

Percentaje
Source: 
-(2018 Census): Difference with 63.8% who have municipal or private service

Other references
-(URL, 2003): 18.92% for the entire Department of Izabal.
-(Aguilar): Difference with the 90% of the population that indicates that waste is collected by formal service of companies: Chiapas, Cohipo, Ecological Services, Rebasa, Don Erwin, Collector El Mitch.",,1.00,0,,,0.00,0,0.00,0,0.00,3.000,3.000,4.000,4,"Source (Municipality)

Interesting facts: There are van-type containers, COHIPO has 4 with compactors.",,1.00,2.000,4.000,"Fuente (Municipalidad)
 
",,1.00,0,4.00,"Fuente (Municipalidad)
 
",,1.00,0,4.00,"Fuente (Municipalidad)
 
",,1.00,3.000,4.000,1.000,"Source:
Municipality",,0.33,4.000,2.000,1.000,1.000,4.000,3.000,"Source: 
Municipality",,0.66,2.000,1.000,Source: Municipality,,0.66,3.000,4.000,4.000,5.000,"17.1 
Sources
-Municipality
-(URL, 2003) on the departmental study of all waste categories, 3.85%
-(2018 census): 31%
-(Aguilar): 8%

17.2
Sources
-Municipality
-(URL,2003) on the study at the departmental level, of all categories of waste, 17.54%
-(2018 Census): 1.31%
-(Aguilar): 2%

17.3
Sources
-Municipality
-(2018 Census): 1.6% (anywhere)

17.4
 Sources
-Municipality
-(2018 Census):0.33 %",,1.00,4.000,5.000,5.000,Source: Municipality,,0.66,3.000,4.000,4.000,4.000,,,1.00,5.000,1.000,1.000,5.000,Source: Municipality,,0.66,1.000,4.000,5.000,"Fountain:
-Municipality 

Data
Piteros approximately 205m from the nearest intermittent river",,0.66,2024-09-17 10:50:58,
"Belmopan, Belize - 2022",2022,23,112,1,28264,"1.
Statistics Institute for 2021, https://sib.org.bz/statistics/population/

2.
APWC (Figure 10)",,1.00,0.58,9,14,7,1,22,47,"Source: 
Characterization from APWC (2019",,1.00,0.642,0.934,0.494,0.055,1.536,6.844,"Paper: 234.2 tonn/year (Paper&carboard)
Plastics: 340.9 (PET, HDPE)
Glass: 180.2 
Metals: 20 (Aluminnum, No Aluminnum)
Other: 560.5 (Batteries, ewaste, hygiene)
Organic: 1162.3","Only bagged garbage collected - No green waste, large items, etc.
Collection coverage reported by the Municipality: 100% collection rate",1.00,0,0,0,0,0,0,,No information available,0.66,0,0,0,0,0,0,"The main objective of the transfer station at Belmopan is to segregate and recover. The infraestructure is ready but the operation is still pending. 

",,1.00,0,1.2,0,0,0,0,"1.2 tonnes per day is 60% of PET Coca Cola brand bottles recovered by informal sector according to information by Belize Coca Cola bottler, based on the 5% of solid waste as per the 2019 AWPC study. (Information verbally provided during a meeting on Sept 22nd, 2022)",,0.66,0,0, ,,0.66,0,,,0.33,0,0.33,0,0.33,4.000,4.000,4.000,4,,,0.66,4.000,4.000,,,0.66,5,3.00,,,0.66,5,3.00,,,0.66,4.000,4.000,4.000,,,0.66,2.000,3.000,1.000,1.000,2.000,1.000,,,0.33,5.000,3.000,"Period July-August-September 2023
Rainfall amount 	300-600 mm
Category                Below normal

Period October-November-December 2023
Rainfall amount  500-800 mm
Category               Normal
https://nms.gov.bz/climate-services/seasonal-outlook/

4 waste sites identified in the Global Plastic Watch (GPW) is a digital platform that maps the world’s plastic pollution in near real-time using a unique combination of satellite imagery and artificial intelligence. https://globalplasticwatch.org/about, none of them in Belmopan.",,1.00,5.000,5.000,5.000,5.000,,,0.66,5.000,5.000,3.000,,,0.66,3.000,2.000,3.000,4.000,,,0.33,4.000,2.000,4.000,5.000,,,0.33,1.000,5.000,5.000,,,0.33,2024-09-17 10:51:00,
"Santa Barbara de Samana, Dominican Republic - 2022",2022,24,113,1,36685,"Datos oficiales de la oficina nacional de estadística dominicana http://sicen.one.gob.do/ 






",,1.00,0.63,11,9,3,3,21,53,Dato de estudio preliminar 2019 CCBO   https://eur01.safelinks.protection.outlook.com/?url=https%3A%2F%2Furban-links.org%2Fccbo-in-dominican-republic%2F&data=05%7C01%7Cjean.castillorobles%40giz.de%7Cdfc77503d0074cbdb4bb08da846c09b9%7C5bbab28cdef3460488225e707da8dba8%7C0%7C0%7C637967896817530905%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=nJtt2ciwdT9f%2BjAym10m5kGFtK7YkAPXP6RWgwkf368%3D&reserved=0,,1.00,2.3,1.1,0.6,0.6,4.4,11.1,"Cálculo de porcentaje con datos obtenidos de los operadores del relleno sanitario.


",,0.66,0,0,0,0,0,0,N/A,,1.00,0,0,0,0,0,0,Visita de un día en campo donde se visualizaron los recolectores de base separando manualmente los residuos plásticos del resto.,,1.00,0,0.8,0,0,0,0.8,Visita de un día en campo donde se visualizaron los recolectores de base separando manualmente los residuos plásticos del resto.,,0.66,0,0,N/D,,1.00,10,"Estimado con los camiones de plástico despachados del vertedero.

Por ausencia de tecnología, no se usan residuos para generación energética.

Es una estimación entre los residuos generados por la población y el total de residuos recibidos en el relleno sanitario.


",,0.33,0,1.00,60,0.33,3.000,2.000,3.000,4,"Análisis visual de las comunidades y vehículos de recolección.

Levantamiento de datos  en la localidad.

Verificación de vehículos disponibles en la municipalidad.


",,0.66,3.000,3.000,"Entrevista y recorrido visual.



",,0.66,10,2.00,"Entrevista y recorrido visual.



",,0.66,10,7.00,"Entrevista y recorrido visual.



",,0.66,3.000,4.000,2.000,"Observación visual y entrevista sobre los vehículos.
",,1.00,1.000,2.000,1.000,3.000,3.000,2.000,Observación visual y entrevistas.,,0.66,2.000,4.000,"Observación visual y entrevistas.
",,0.66,2.000,3.000,2.000,3.000,Observación y entrevistas.,,1.00,2.000,2.000,3.000,Observación y entrevistas.,,1.00,5.000,2.000,3.000,2.000,Observación y entrevistas.,,1.00,2.000,3.000,1.000,3.000,Observación y entrevistas.,,1.00,2.000,3.000,1.000,Observación y entrevistas.,,1.00,2024-09-17 10:51:01,
"Sekondi-Takoradi, Ghana 2022",2022,108,204,1,233790,"
",,0.66,0.71,6.7121,17.9256,1.86993,1.23755,19.6546,52.6002,,,0.66,5.52446,17.6563,1.10112,0.970874,19.6216,51.7756,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,2.7063,0.89028,0.0801,0.09,0,0,,,0.66,0,1.14,,,0.66,11.95,,,0.66,0,0.66,0,0.66,4.000,4.000,4.000,6,,,0.66,4.000,4.000,,,0.33,10,4.00,,,0.33,0,7.00,,,0.33,2.000,4.000,2.000,,,0.66,7.000,4.000,3.000,1.000,3.000,3.000,,,1.00,3.000,4.000,,,0.33,4.000,5.000,5.000,5.000,,,0.66,4.000,3.000,4.000,,,1.00,7.000,5.000,7.000,5.000,,,0.33,5.000,5.000,5.000,7.000,,,0.33,3.000,5.000,7.000,,,0.66,2025-04-11 19:26:03,
"Koidu, Sierra Leone 2022",2022,109,205,1,154908,"Population census, with Koidu’s demographic growth considerable with an average urbanization rate of 3% per annum.
Data collect from the WaCT application in Koidu",,0.66,1.05,4.65,9.15,0.58,1.38,42.09,42.15,Data collect from the WaCT application in Koidu,"The composition is showing an extremely high percentage of ""Other"" waste fraction. Does the study team know if is there a particular reason for this? Can the study team indicate what this ""other"" material typically comprises? (dirt and soil perhaps? ash?).

Answer from UN-Habitat: I assume the “other” waste mainly comprised sand and gravel since the composition study in 2019 (left pie chart) in the below slide used for the stakeholders workshop indicates that 30.3% of the waste was accounted for by sand and gravel.",1.00,2.59,5.18,0.31,0.99,8.58,9.19,,,1.00,0,0,0,0,0,0,,,1.00,0,0,0,0,0,0,,,1.00,0,0.18,0,0.19,0,0,,,1.00,1,1,,,0.33,0,Data collect from the WaCT application in Koidu,,1.00,0,1.00,0,1.00,2.000,2.000,2.000,3,Obervation as per the WFD mannual,,0.66,2.000,2.000,Obervation as per the WFD mannual,,0.33,10,1.00,Obervation as per the WFD mannual,,0.33,10,1.00,Obervation as per the WFD mannual,,0.33,2.000,3.000,2.000,Obervation as per the WFD mannual,,0.66,7.000,3.000,2.000,1.000,2.000,2.000,Obervation as per the WFD mannual,,0.66,3.000,3.000,Obervation as per the WFD mannual,,0.66,3.000,3.000,3.000,3.000,Obervation as per the WFD mannual,,0.66,1.000,1.000,4.000,Obervation as per the WFD mannual,,0.66,2.000,3.000,4.000,4.000,Obervation as per the WFD mannual,,0.66,3.000,3.000,3.000,3.000,Obervation as per the WFD mannual,,0.66,1.000,1.000,4.000,Obervation as per the WFD mannual,,0.66,2025-04-11 19:30:30,
"Mahahual, Mexico - 2023",2023,27,117,1,2636,"Censo de población 2020, INEGI.
Distintas fuentes de información, considerando los datos municipales.",,0.66,1.15,7.24,11.06,5.68,1.65,25.46,48.91,"Porcentajes del municipio Othon C. Blanco.
",,0.33,0.18216,0.27828,0.14291,0.04152,0.64059,1.23061,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,1,1,,,0.66,0,,,0.66,0,0.66,100,0.66,3.000,3.000,4.000,4,,,0.66,4.000,4.000,,,0.33,0,7.00,,,0.33,0,7.00,,,0.33,4.000,3.000,4.000,,,0.66,4.000,3.000,2.000,1.000,2.000,1.000,,,1.00,3.000,2.000,,,0.33,4.000,4.000,5.000,1.000,,,0.66,4.000,3.000,2.000,,,1.00,5.000,5.000,5.000,7.000,,,0.33,7.000,7.000,7.000,5.000,,,0.33,3.000,4.000,2.000,,,0.66,2024-09-17 10:51:05,
"Betagi, Bangladesh - 2023",2023,28,118,1,12930,,,1.00,0.22,3.72,12,1.82,0,1.56,80.9,,,0.66,0.1,0.2,0,0,0,0.1,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0.1,0,0,0,0,,,0.33,1,3.83,,,0.33,0,,,0.66,0,0.66,0,0.66,1.000,2.000,3.000,2,,,0.66,3.000,4.000,,,0.66,0,7.00,,,0.66,5,2.00,,,0.66,4.000,2.000,1.000,,,0.66,3.000,3.000,1.000,1.000,2.000,1.000,,,0.66,3.000,2.000,,,1.00,5.000,2.000,4.000,2.000,,,0.66,1.000,3.000,2.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,3.000,4.000,5.000,5.000,,,0.66,1.000,5.000,3.000,,,0.66,2024-09-17 10:51:06,
"Kaliakair, Bangladesh - 2023",2023,29,119,1,277423,,,1.00,0.21,3.229,11.164,1.25,0,3.602,80.755,,,0.66,0.93,3.22,0.36,0,1.04,23.26,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0.19,1.13,0,0,0.16,0,,,0.33,1,2.47,,,0.33,0,,,0.66,0,0.66,0,0.66,2.000,2.000,3.000,2,,,1.00,3.000,3.000,,,0.66,0,7.00,,,0.66,5,2.00,,,0.66,3.000,2.000,1.000,,,0.66,4.000,3.000,3.000,1.000,2.000,2.000,,,1.00,3.000,2.000,,,1.00,4.000,1.000,4.000,3.000,,,1.00,1.000,3.000,2.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,3.000,4.000,5.000,5.000,,,0.33,2.000,5.000,4.000,,,1.00,2024-09-17 10:51:08,
"Araihazar, Bangladesh - 2023",2023,30,120,1,28997,,,1.00,0.25,2.705,9.04,1.141,0,2.761,84.353,,,0.66,0.05,0.18,0,0,0.06,1.69,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0.1942,0,0,0,0,,,0.33,1,2.99,,,0.33,0,,,0.66,0,0.66,0,0.66,2.000,2.000,3.000,3,,,1.00,2.000,4.000,,,0.66,0,1.00,,,0.66,5,2.00,,,0.66,3.000,3.000,1.000,,,0.66,3.000,3.000,2.000,1.000,2.000,1.000,,,1.00,3.000,5.000,,,1.00,5.000,2.000,3.000,2.000,,,1.00,3.000,4.000,3.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,2.000,4.000,5.000,5.000,,,0.33,1.000,5.000,3.000,,,1.00,2024-09-17 10:51:09,
"Arani, Bangladesh - 2023",2023,31,121,1,21007,,,1.00,0.24,2.193,12.172,0.72,0,1.827,83.088,,,0.66,0.02,0.12,0.01,0,0,0.83,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0.06232,0,0,0,0,,,0.33,1,1.4,,,0.33,0,,,0.66,0,0.66,0,0.66,1.000,2.000,2.000,2,,,1.00,3.000,4.000,,,0.66,0,1.00,,,0.66,3,1.00,,,0.66,4.000,2.000,1.000,,,0.66,2.000,3.000,1.000,1.000,2.000,1.000,,,1.00,3.000,5.000,,,1.00,5.000,1.000,4.000,2.000,,,1.00,2.000,4.000,3.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,2.000,5.000,5.000,5.000,,,0.33,1.000,7.000,3.000,,,1.00,2024-09-17 10:51:10,
"Banaripara, Bangladesh - 2023",2023,32,122,1,12662,,,1.00,0.24,3.342,9.055,0.405,0,1.522,85.676,,,0.66,0.02,0.05,0,0,0.01,0.51,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0.11172,0,0,0.00939,0,,,0.33,1,3.93,,,0.33,0,,,0.66,0,0.66,0,0.66,2.000,2.000,4.000,4,,,1.00,2.000,4.000,,,0.66,0,1.00,,,0.66,5,2.00,,,0.66,3.000,3.000,1.000,,,0.66,3.000,3.000,2.000,4.000,2.000,1.000,,,1.00,3.000,2.000,,,1.00,5.000,2.000,4.000,2.000,,,1.00,1.000,4.000,2.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,2.000,4.000,5.000,5.000,,,0.33,1.000,5.000,3.000,,,1.00,2024-09-17 10:51:11,
"Banskhali, Bangladesh - 2023",2023,33,123,1,46849,,,1.00,0.27,2.165,5.428,1.427,0,1.422,89.558,,,0.66,0.02,0.05,0.01,0,0.01,0.9,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0.01232,0.17236,0,0,0.01807,0,,,0.33,1,1.5,,,0.33,0,,,0.66,0,0.66,0,0.66,1.000,2.000,2.000,3,,,1.00,4.000,4.000,,,0.66,0,1.00,,,0.66,5,1.00,,,0.66,3.000,2.000,1.000,,,0.66,4.000,3.000,1.000,1.000,2.000,1.000,,,1.00,4.000,2.000,,,1.00,5.000,1.000,3.000,4.000,,,1.00,1.000,4.000,4.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,2.000,5.000,5.000,4.000,,,0.33,1.000,7.000,4.000,,,1.00,2024-09-17 10:51:12,
"Bauphal, Bangladesh - 2023",2023,34,124,1,14307,,,1.00,0.25,3.878,13.267,0.919,0,0.96,80.976,,,0.66,0.04,0.13,0.01,0,0.01,0.81,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0.02407,0,0,0.00174,0,,,0.33,1,0.71,,,0.33,0,,,0.66,0,0.66,0,0.66,1.000,2.000,3.000,2,,,1.00,3.000,4.000,,,0.66,0,1.00,,,0.66,5,2.00,,,0.66,4.000,3.000,1.000,,,0.66,2.000,3.000,1.000,4.000,2.000,1.000,,,1.00,3.000,2.000,,,1.00,5.000,2.000,4.000,2.000,,,1.00,1.000,3.000,2.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,3.000,4.000,5.000,5.000,,,0.33,1.000,5.000,3.000,,,1.00,2024-09-17 10:51:14,
"Beani Bazar, Bangladesh - 2023",2023,35,125,1,54112,,,1.00,0.27,1.644,9.667,3.615,0,0,85.074,,,0.66,0.02,0.15,0,0,0.05,1.28,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0.35831,0,0,0.02679,0,,,0.33,1,2.6,,,0.33,0,,,0.66,0,0.66,0,0.66,1.000,2.000,2.000,3,,,1.00,2.000,4.000,,,0.66,0,1.00,,,0.66,5,1.00,,,0.66,2.000,2.000,1.000,,,0.66,2.000,2.000,1.000,1.000,2.000,1.000,,,1.00,2.000,5.000,,,1.00,5.000,1.000,5.000,1.000,,,1.00,1.000,4.000,1.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,2.000,5.000,5.000,5.000,,,0.33,1.000,7.000,3.000,,,1.00,2024-09-17 10:51:15,
"Bera, Bangladesh - 2023",2023,36,126,1,66631,,,1.00,0.19,1.722,4.492,0,0,2.445,91.341,,,0.66,0.03,0.07,0,0,0.04,1.37,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0.08514,0,0,0.01545,0,,,0.33,1,0.8,,,0.33,0,,,0.66,0,0.66,0,0.66,1.000,2.000,2.000,3,,,1.00,4.000,4.000,,,0.66,0,1.00,,,0.66,3,1.00,,,0.66,4.000,2.000,1.000,,,0.66,4.000,3.000,1.000,1.000,2.000,1.000,,,1.00,2.000,2.000,,,1.00,5.000,1.000,5.000,2.000,,,1.00,1.000,4.000,2.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,2.000,5.000,5.000,2.000,,,0.33,1.000,7.000,3.000,,,1.00,2024-09-17 10:51:16,
"Chakaria, Bangladesh - 2023",2023,37,127,1,99018,,,1.00,0.26,1.461,5.983,1.827,0,1.545,89.184,,,0.66,0.06,0.24,0.07,0,0.06,3.57,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0.46543,0,0,0.04006,0,,,0.33,1,1.95,,,0.33,0,,,0.66,0,0.66,0,0.66,1.000,2.000,2.000,2,,,1.00,4.000,4.000,,,0.66,0,1.00,,,0.66,5,1.00,,,0.66,3.000,2.000,1.000,,,0.66,3.000,3.000,1.000,1.000,2.000,1.000,,,1.00,4.000,2.000,,,1.00,5.000,1.000,3.000,3.000,,,1.00,1.000,4.000,3.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,2.000,5.000,5.000,3.000,,,0.33,1.000,7.000,3.000,,,1.00,2024-09-17 10:51:17,
"Chargat, Bangladesh - 2023",2023,38,128,1,46165,,,1.00,0.278,2.069,8.764,0,0,1.669,87.498,,,0.66,0.03,0.13,0,0,0.03,1.31,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0.28139,0,0,0.02144,0,,,0.33,1,2.36,,,0.33,0,,,0.66,0,0.66,0,0.66,1.000,2.000,2.000,2,,,1.00,3.000,4.000,,,0.66,0,1.00,,,0.66,5,1.00,,,0.66,4.000,2.000,1.000,,,0.66,2.000,3.000,1.000,1.000,2.000,1.000,,,1.00,3.000,5.000,,,1.00,5.000,1.000,4.000,2.000,,,1.00,2.000,4.000,3.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,2.000,5.000,5.000,5.000,,,0.33,1.000,7.000,3.000,,,1.00,2024-09-17 10:51:18,
"Chhātak, Bangladesh - 2023",2023,39,129,1,64791,,,1.00,0.21,1.293,6.442,1.623,0,1.313,89.329,,,0.66,0.03,0.13,0.03,0,0.03,1.79,,,0.66,0,0,0,0,0,0,,,0.66,0,0,0,0,0,0,,,0.66,0,0.21878,0,0,0.00891,0,,,0.33,1,1.68,,,0.33,0,,,0.66,0,0.66,0,0.66,1.000,2.000,2.000,3,,,1.00,4.000,4.000,,,0.66,0,1.00,,,0.66,3,1.00,,,0.66,4.000,2.000,1.000,,,0.66,4.000,3.000,1.000,1.000,2.000,1.000,,,1.00,2.000,2.000,,,1.00,5.000,1.000,5.000,2.000,,,1.00,1.000,4.000,2.000,,,1.00,7.000,7.000,7.000,7.000,,,0.33,2.000,5.000,5.000,2.000,,,0.33,1.000,7.000,3.000,,,1.00,2024-09-17 10:51:19,
